MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,9.1,"B ","ISM","M1","SALINITY",,9.91000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,1,"M ","ISM","M1","SALINITY",,9.72000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,2,"M ","ISM","M1","SALINITY",,9.72000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,3,"M ","ISM","M1","SALINITY",,9.78000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,4,"M ","ISM","M1","SALINITY",,9.78000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,5,"M ","ISM","M1","SALINITY",,9.78000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,6,"M ","ISM","M1","SALINITY",,9.78000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,7,"M ","ISM","M1","SALINITY",,9.78000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,8,"M ","ISM","M1","SALINITY",,9.85000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608105,"BAY808","TWQM","TRIB","MDDNR","MDDNR","WT7.1",1/12/2022,11:46:00,10.1,,,0.5,"S ","ISM","M1","SALINITY",,9.72000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,8.6,"B ","ISM","M1","SALINITY",,10.04000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,1,"M ","ISM","M1","SALINITY",,9.40000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,2,"M ","ISM","M1","SALINITY",,9.46000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,3,"M ","ISM","M1","SALINITY",,9.65000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,4,"M ","ISM","M1","SALINITY",,9.78000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,5,"M ","ISM","M1","SALINITY",,9.91000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,6,"M ","ISM","M1","SALINITY",,9.98000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,7,"M ","ISM","M1","SALINITY",,9.98000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,8,"M ","ISM","M1","SALINITY",,9.98000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",608222,"BAY810","TWQM","TRIB","MDDNR","MDDNR","WT7.1",2/9/2022,09:27:00,9.6,,,0.5,"S ","ISM","M1","SALINITY",,9.40000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,11.1,"B ","ISM","M1","SALINITY",,8.69000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,1,"M ","ISM","M1","SALINITY",,7.12000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,2,"M ","ISM","M1","SALINITY",,7.12000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,3,"M ","ISM","M1","SALINITY",,7.18000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,4,"M ","ISM","M1","SALINITY",,7.30000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,5,"M ","ISM","M1","SALINITY",,7.49000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,6,"M ","ISM","M1","SALINITY",,7.56000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,7,"M ","ISM","M1","SALINITY",,7.74000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,8,"M ","ISM","M1","SALINITY",,8.25000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,9,"M ","ISM","M1","SALINITY",,8.63000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,10,"M ","ISM","M1","SALINITY",,8.69000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",607988,"BAY812","TWQM","TRIB","MDDNR","MDDNR","WT7.1",3/14/2022,10:05:00,12.1,,,0.5,"S ","ISM","M1","SALINITY",,7.12000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,0.5,"S ","ISM","M1","SALINITY",,6.49000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,1,"M ","ISM","M1","SALINITY",,6.49000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,2,"M ","ISM","M1","SALINITY",,6.49000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,3,"M ","ISM","M1","SALINITY",,6.56000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,4,"M ","ISM","M1","SALINITY",,6.56000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,5,"M ","ISM","M1","SALINITY",,6.62000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,6,"M ","ISM","M1","SALINITY",,6.62000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,7,"M ","ISM","M1","SALINITY",,6.62000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,8,"M ","ISM","M1","SALINITY",,6.62000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620663,"BAY816","TWQM","TRIB","MDDNR","MDDNR","WT7.1",5/12/2022,08:54:00,10,,,9,"B ","ISM","M1","SALINITY",,6.62000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,0.5,"S ","ISM","M1","SALINITY",,5.21000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,1,"M ","ISM","M1","SALINITY",,5.39000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,2,"M ","ISM","M1","SALINITY",,7.18000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,3,"M ","ISM","M1","SALINITY",,7.43000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,4,"M ","ISM","M1","SALINITY",,7.62000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,5,"M ","ISM","M1","SALINITY",,7.74000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,6,"M ","ISM","M1","SALINITY",,7.87000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,7,"M ","ISM","M1","SALINITY",,7.87000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,8,"M ","ISM","M1","SALINITY",,7.93000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620744,"BAY814","TWQM","TRIB","MDDNR","MDDNR","WT7.1",4/12/2022,09:48:00,9.7,,,8.7,"B ","ISM","M1","SALINITY",,8.00000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,0.5,"S ","ISM","M1","SALINITY",,6.87000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,1,"M ","ISM","M1","SALINITY",,6.87000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,2,"M ","ISM","M1","SALINITY",,7.43000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
